"","X1"
"1",649
"2",459
"3",2580
"4",879
"5",1149
"6",2283
"7",872
"8",741
"9",471
"10",3108
"11",504
"12",300
"13",685
"14",337
"15",293
"16",313
"17",347
"18",289
"19",252
"20",897
"21",570
"22",453
"23",442
"24",249
"25",453
"26",484
"27",1510
"28",1082
"29",284
"30",681
"31",701
"32",704
"33",681
"34",701
"35",437
"36",251
"37",331
"38",333
"39",720
"40",332
"41",581
"42",374
"43",441
"44",600
"45",3508
"46",628
"47",689
"48",346
"49",247
"50",702
"51",573
"52",640
"53",363
"54",266
"55",627
"56",395
"57",861
"58",455
"59",244
"60",617
"61",298
"62",268
"63",370
"64",342
"65",1508
"66",3422
"67",671
"68",568
"69",663
"70",656
"71",646
"72",628
"73",675
"74",660
"75",291
"76",362
"77",618
"78",639
"79",639
"80",674
"81",617
"82",627
"83",672
"84",722
"85",603
"86",653
"87",623
"88",644
"89",680
"90",623
"91",640
"92",664
"93",655
"94",628
"95",634
"96",672
"97",655
"98",625
"99",675
"100",629
"101",640
"102",672
"103",657
"104",649
"105",657
"106",657
"107",657
"108",628
"109",673
"110",657
"111",622
"112",672
"113",668
"114",660
"115",621
"116",668
"117",669
"118",680
"119",668
"120",668
"121",670
"122",677
"123",660
"124",670
"125",670
"126",675
"127",655
"128",661
"129",670
"130",686
"131",669
"132",670
"133",675
"134",685
"135",677
"136",664
"137",671
"138",681
"139",667
"140",638
"141",687
"142",685
"143",670
"144",656
"145",666
"146",675
"147",660
"148",654
"149",660
"150",721
"151",582
"152",625
"153",672
"154",650
"155",617
"156",663
"157",620
"158",628
"159",662
"160",673
"161",663
"162",671
"163",677
"164",663
"165",672
"166",691
"167",686
"168",659
"169",638
"170",668
"171",665
"172",662
"173",662
"174",659
"175",647
"176",689
"177",592
"178",620
"179",648
"180",621
"181",648
"182",642
"183",620
"184",662
"185",621
"186",625
"187",622
"188",621
"189",625
"190",664
"191",661
"192",664
"193",668
"194",656
"195",665
"196",660
"197",666
"198",655
