"","X1"
"1",373
"2",1164
"3",854
"4",520
"5",812
"6",3579
"7",992
"8",1063
"9",951
"10",908
"11",561
"12",1051
"13",982
"14",655
"15",988
"16",791
"17",859
"18",961
"19",755
"20",525
"21",438
"22",1010
"23",580
"24",292
"25",291
"26",670
"27",1060
"28",460
"29",531
"30",780
"31",727
"32",279
"33",596
"34",322
"35",332
"36",719
"37",999
"38",483
"39",339
"40",533
"41",662
"42",923
"43",1007
"44",889
"45",936
"46",934
"47",1024
"48",865
"49",983
"50",858
"51",547
"52",462
"53",958
"54",987
"55",977
"56",952
"57",983
"58",864
"59",987
"60",510
"61",1048
"62",899
"63",873
"64",835
"65",833
"66",820
"67",779
"68",772
"69",771
"70",753
"71",727
"72",737
"73",749
"74",533
"75",787
"76",856
"77",767
"78",772
"79",667
"80",805
"81",744
"82",575
"83",681
"84",787
"85",834
"86",763
"87",731
"88",733
"89",588
"90",429
"91",694
"92",833
"93",719
"94",618
"95",927
"96",812
"97",813
"98",803
"99",697
"100",839
"101",536
"102",741
"103",931
"104",824
"105",762
"106",821
"107",745
"108",545
"109",787
"110",869
"111",753
"112",843
"113",697
"114",783
"115",819
"116",729
"117",683
"118",604
"119",876
"120",746
"121",906
"122",833
"123",812
"124",598
"125",510
"126",940
"127",903
"128",864
"129",861
"130",772
"131",877
"132",724
"133",872
"134",781
"135",768
"136",818
"137",828
"138",427
"139",848
"140",814
"141",822
"142",848
"143",509
"144",579
"145",796
"146",932
"147",876
"148",769
"149",924
"150",554
"151",921
"152",783
"153",847
"154",894
"155",718
"156",871
"157",809
"158",799
"159",787
"160",525
"161",791
"162",889
"163",871
"164",788
"165",920
"166",828
"167",800
"168",829
"169",729
"170",938
"171",831
"172",850
"173",834
"174",806
"175",807
"176",521
"177",614
"178",970
"179",898
"180",882
"181",856
"182",839
"183",845
"184",768
"185",815
"186",880
"187",420
"188",697
"189",859
"190",802
"191",919
"192",839
"193",746
"194",722
"195",829
"196",927
"197",821
"198",755
"199",901
"200",824
"201",776
"202",940
"203",792
"204",850
"205",917
"206",868
"207",868
"208",831
"209",716
"210",941
"211",885
"212",846
"213",838
"214",960
"215",842
"216",776
"217",878
"218",925
"219",767
"220",905
"221",975
"222",811
"223",918
"224",999
"225",822
"226",883
"227",955
"228",840
"229",791
"230",796
"231",789
"232",760
"233",697
"234",850
"235",797
"236",776
"237",522
"238",750
"239",855
"240",865
"241",739
"242",724
"243",892
"244",656
"245",821
"246",832
"247",887
"248",499
"249",525
"250",903
"251",914
"252",812
"253",759
"254",581
"255",619
"256",775
"257",897
"258",735
"259",881
"260",714
"261",752
"262",842
"263",561
"264",763
"265",845
"266",812
"267",732
"268",752
"269",737
"270",803
"271",736
"272",608
"273",632
"274",797
"275",745
"276",724
"277",719
"278",725
"279",670
"280",708
"281",784
"282",661
"283",798
"284",733
"285",653
"286",704
"287",524
"288",922
"289",795
"290",650
"291",730
"292",837
"293",560
"294",620
"295",853
"296",888
"297",836
"298",753
"299",799
"300",804
"301",715
"302",563
"303",730
"304",908
"305",837
"306",798
"307",697
"308",500
"309",739
"310",856
"311",745
"312",774
"313",842
"314",759
"315",660
"316",743
"317",640
"318",764
"319",815
"320",674
"321",740
"322",828
"323",749
"324",638
"325",803
"326",512
"327",819
"328",780
"329",726
"330",734
"331",669
"332",708
"333",683
"334",518
"335",911
"336",782
"337",679
"338",746
"339",410
"340",1073
"341",612
"342",672
"343",877
"344",544
"345",904
"346",772
"347",685
"348",755
"349",483
"350",852
"351",796
"352",762
"353",674
"354",791
"355",729
"356",534
"357",317
"358",536
"359",730
"360",827
"361",780
"362",760
"363",653
"364",712
"365",791
"366",647
"367",653
"368",601
"369",856
"370",763
"371",572
"372",813
"373",743
"374",597
"375",595
"376",713
"377",745
"378",830
"379",742
"380",642
"381",526
"382",691
"383",783
"384",608
"385",760
"386",812
"387",764
"388",724
"389",597
"390",595
"391",741
"392",844
"393",666
"394",789
"395",724
"396",731
"397",594
"398",650
"399",786
"400",671
"401",800
"402",613
"403",752
"404",566
"405",416
"406",614
"407",630
"408",526
"409",805
"410",697
"411",805
"412",725
"413",657
"414",745
"415",646
"416",599
"417",777
"418",814
"419",702
"420",714
"421",834
"422",784
"423",590
"424",581
"425",713
"426",840
"427",774
"428",818
"429",727
"430",723
"431",729
"432",365
"433",852
"434",789
"435",562
"436",804
"437",729
"438",708
"439",663
"440",633
"441",837
"442",726
"443",683
"444",485
"445",907
"446",710
"447",827
"448",643
"449",817
"450",654
"451",662
"452",583
"453",838
"454",804
"455",659
"456",739
"457",797
"458",620
"459",465
"460",868
"461",701
"462",823
"463",571
"464",527
"465",637
"466",478
"467",662
"468",532
"469",533
"470",619
"471",582
"472",483
"473",595
"474",528
"475",629
"476",799
"477",740
"478",664
"479",820
"480",404
"481",805
"482",820
"483",680
"484",816
"485",632
"486",883
"487",766
"488",511
"489",588
"490",825
"491",776
"492",827
"493",732
"494",711
"495",671
"496",609
"497",664
"498",721
"499",745
"500",756
"501",805
"502",851
"503",908
"504",855
"505",884
"506",575
"507",611
"508",945
"509",924
"510",905
"511",877
"512",842
"513",811
"514",561
"515",516
"516",849
"517",414
"518",509
"519",845
"520",875
"521",824
"522",552
"523",885
"524",675
"525",816
"526",694
"527",586
"528",647
"529",703
"530",962
"531",760
"532",801
"533",891
"534",763
"535",816
"536",864
"537",986
"538",916
"539",890
"540",817
"541",874
"542",903
"543",820
"544",579
"545",632
"546",888
"547",870
"548",807
"549",769
"550",766
"551",745
"552",735
"553",728
"554",652
"555",573
"556",833
"557",708
"558",834
"559",740
"560",735
"561",713
"562",619
"563",610
"564",852
"565",839
"566",737
"567",772
"568",919
"569",752
"570",817
"571",936
"572",807
"573",928
"574",869
"575",450
"576",759
"577",896
"578",975
"579",867
"580",813
"581",794
"582",785
"583",768
"584",749
"585",760
"586",414
"587",941
"588",830
"589",806
"590",768
"591",420
"592",664
"593",756
"594",882
"595",758
"596",722
"597",647
"598",795
"599",564
"600",640
"601",824
"602",773
"603",772
"604",747
"605",730
"606",767
"607",518
"608",765
"609",576
"610",897
"611",754
"612",877
"613",780
"614",781
"615",588
"616",640
"617",843
"618",833
"619",800
"620",768
"621",747
"622",752
"623",757
"624",540
"625",744
"626",736
"627",842
"628",701
"629",832
"630",737
"631",552
"632",643
"633",824
"634",695
"635",814
"636",635
"637",781
"638",723
"639",586
"640",651
"641",811
"642",756
"643",749
"644",611
"645",516
"646",712
"647",478
"648",938
"649",606
"650",910
"651",796
"652",606
"653",922
"654",745
"655",822
"656",514
"657",784
"658",867
"659",806
"660",868
"661",942
"662",831
"663",850
"664",859
"665",488
"666",576
"667",956
"668",876
"669",819
"670",931
"671",778
"672",764
"673",784
"674",833
"675",689
"676",827
"677",440
"678",752
"679",819
"680",856
"681",679
"682",502
"683",556
"684",836
"685",852
"686",796
"687",799
"688",884
"689",720
"690",849
"691",792
"692",807
"693",439
"694",534
"695",804
"696",848
"697",806
"698",853
"699",441
"700",843
"701",853
"702",839
"703",801
"704",415
"705",616
"706",884
"707",848
"708",816
"709",674
"710",834
"711",773
"712",770
"713",758
"714",439
"715",780
"716",840
"717",727
"718",853
"719",688
"720",845
"721",775
"722",753
"723",747
"724",496
"725",792
"726",904
"727",702
"728",838
"729",768
"730",757
"731",666
"732",594
"733",732
"734",823
"735",757
"736",860
"737",786
"738",777
"739",440
"740",697
"741",860
"742",816
"743",705
"744",750
"745",824
"746",749
"747",731
"748",656
"749",459
"750",886
"751",816
"752",759
"753",509
"754",440
"755",864
"756",814
"757",681
"758",720
"759",796
"760",719
"761",715
"762",504
"763",755
"764",812
"765",775
"766",689
"767",839
"768",620
"769",588
"770",704
"771",737
"772",852
"773",507
"774",496
"775",788
"776",548
"777",864
"778",708
"779",749
"780",684
"781",315
"782",600
"783",600
"784",560
"785",901
"786",776
"787",775
"788",786
"789",655
"790",851
"791",704
"792",779
"793",889
"794",798
"795",691
"796",761
"797",559
"798",872
"799",839
"800",796
"801",716
"802",865
"803",775
"804",748
"805",753
"806",570
"807",762
"808",496
"809",885
"810",890
"811",797
"812",771
