"","X1"
"1",622
"2",731
"3",659
"4",450
"5",810
"6",683
"7",644
"8",652
"9",520
"10",523
"11",805
"12",601
"13",477
"14",895
"15",531
"16",394
"17",244
"18",409
"19",447
"20",383
"21",529
"22",382
"23",1007
"24",637
"25",462
"26",783
"27",559
"28",701
"29",543
"30",660
"31",605
"32",611
"33",541
"34",247
"35",333
"36",563
"37",692
"38",608
"39",604
"40",557
"41",576
"42",639
"43",616
"44",625
"45",547
"46",661
"47",483
"48",614
"49",758
"50",541
"51",532
"52",659
"53",657
"54",612
"55",612
"56",619
"57",537
"58",696
"59",623
"60",537
"61",606
"62",714
"63",635
"64",480
"65",604
"66",655
"67",761
"68",668
"69",657
"70",535
"71",577
"72",736
"73",691
"74",652
"75",631
"76",538
"77",488
"78",714
"79",754
"80",636
"81",648
"82",655
"83",644
"84",645
"85",666
"86",462
"87",748
"88",743
"89",672
"90",672
"91",669
"92",519
"93",576
"94",615
"95",809
"96",693
"97",691
"98",674
"99",558
"100",749
"101",715
"102",674
"103",502
"104",765
"105",708
"106",671
"107",655
"108",655
"109",515
"110",695
"111",692
"112",644
"113",644
"114",640
"115",585
"116",563
"117",687
"118",654
"119",636
"120",639
"121",628
"122",616
"123",624
"124",628
"125",544
"126",689
"127",630
"128",637
"129",582
"130",650
"131",573
"132",735
"133",682
"134",681
"135",660
"136",321
"137",259
"138",665
"139",614
"140",727
"141",512
"142",727
"143",753
"144",625
"145",678
"146",707
"147",268
"148",389
"149",717
"150",504
"151",419
"152",808
"153",654
"154",487
"155",947
"156",732
"157",799
"158",867
"159",1001
"160",271
"161",695
"162",884
"163",883
"164",269
"165",399
"166",418
"167",306
"168",479
"169",688
"170",251
"171",514
"172",808
"173",597
"174",784
"175",381
"176",774
"177",824
"178",855
"179",542
"180",567
"181",311
"182",259
"183",867
"184",679
"185",287
"186",413
"187",441
"188",307
"189",710
"190",509
"191",371
"192",354
"193",604
"194",515
"195",253
"196",589
"197",775
"198",392
"199",300
"200",1083
"201",383
"202",314
"203",364
"204",730
"205",279
"206",497
"207",575
"208",727
"209",743
"210",550
"211",676
"212",311
"213",337
"214",540
"215",462
"216",851
"217",615
"218",288
"219",483
"220",560
"221",649
"222",475
"223",637
"224",305
"225",680
"226",257
"227",318
"228",1732
"229",303
"230",1453
"231",1243
"232",667
"233",524
"234",684
"235",419
"236",409
"237",272
"238",464
"239",261
"240",624
"241",324
"242",268
"243",611
"244",785
"245",325
"246",652
"247",612
"248",787
"249",362
"250",347
"251",671
"252",525
"253",1400
"254",592
"255",507
"256",555
"257",677
"258",505
"259",671
"260",458
"261",409
"262",291
"263",763
"264",667
"265",575
"266",558
"267",567
"268",700
"269",325
"270",350
"271",625
"272",525
"273",572
"274",551
"275",692
"276",641
"277",623
"278",621
"279",486
"280",569
"281",780
"282",648
"283",636
"284",636
"285",561
"286",701
"287",631
"288",627
"289",538
"290",578
"291",631
"292",710
"293",586
"294",486
"295",746
"296",780
"297",853
"298",633
"299",811
"300",917
"301",856
"302",934
"303",907
"304",1003
"305",862
"306",914
"307",979
"308",849
"309",935
"310",918
"311",877
"312",775
"313",707
"314",689
"315",566
"316",812
"317",675
"318",685
"319",712
"320",499
"321",682
"322",770
"323",758
"324",739
"325",698
"326",551
"327",735
"328",839
"329",906
"330",881
"331",857
"332",770
"333",799
"334",701
"335",473
"336",749
"337",885
"338",652
"339",692
"340",620
"341",621
"342",872
"343",785
"344",614
"345",513
"346",578
"347",760
"348",735
"349",819
"350",524
"351",553
"352",545
"353",623
"354",950
"355",385
"356",493
"357",240
"358",654
"359",701
"360",741
"361",619
"362",652
"363",762
"364",877
"365",673
"366",789
"367",615
"368",511
"369",741
"370",746
"371",757
"372",581
"373",664
"374",494
"375",711
"376",725
"377",730
"378",610
"379",750
"380",635
"381",660
"382",664
"383",551
"384",667
"385",706
"386",649
"387",651
"388",637
"389",635
"390",625
"391",487
"392",750
"393",626
"394",636
"395",555
"396",706
"397",610
"398",464
"399",749
"400",625
"401",540
"402",692
"403",611
"404",616
"405",609
"406",619
"407",509
"408",711
"409",601
"410",604
"411",536
"412",619
"413",554
"414",681
"415",448
"416",752
"417",617
"418",596
"419",608
"420",514
"421",492
"422",661
"423",306
"424",312
"425",696
"426",607
"427",591
"428",529
"429",632
"430",677
"431",447
"432",376
"433",375
"434",625
"435",615
"436",614
"437",531
"438",568
"439",528
"440",713
"441",636
"442",627
"443",612
"444",617
"445",621
"446",618
"447",613
"448",628
"449",557
"450",705
"451",452
"452",633
"453",702
"454",654
"455",645
"456",623
"457",500
"458",849
"459",684
"460",697
"461",340
"462",475
"463",692
"464",522
"465",740
"466",264
"467",598
"468",648
"469",678
"470",520
"471",818
"472",822
"473",1044
"474",627
"475",907
"476",751
"477",849
"478",825
"479",777
"480",744
"481",814
"482",415
"483",814
"484",831
"485",805
"486",709
"487",833
"488",720
"489",571
"490",632
"491",758
"492",783
"493",684
"494",708
"495",247
"496",278
"497",629
"498",783
"499",576
"500",688
"501",610
"502",575
"503",769
"504",498
"505",417
"506",310
"507",434
"508",486
"509",377
"510",752
"511",1146
"512",413
"513",1105
"514",899
"515",912
"516",267
"517",604
"518",893
"519",1024
"520",836
"521",932
"522",674
"523",422
"524",316
"525",539
"526",246
"527",308
"528",340
"529",522
"530",748
"531",315
"532",461
"533",354
"534",315
"535",582
"536",565
"537",601
"538",890
"539",444
"540",402
"541",255
"542",645
"543",641
"544",648
"545",609
"546",758
"547",659
"548",589
"549",705
"550",832
"551",504
"552",543
"553",745
"554",655
"555",645
"556",581
"557",642
"558",617
"559",598
"560",718
"561",640
"562",456
"563",647
"564",693
"565",564
"566",707
"567",610
"568",579
"569",523
"570",704
"571",625
"572",619
"573",628
"574",568
"575",525
"576",623
"577",657
"578",615
"579",533
"580",682
"581",610
"582",539
"583",684
"584",604
"585",581
"586",635
"587",612
"588",608
"589",525
"590",567
"591",670
"592",615
"593",611
"594",612
"595",612
"596",612
"597",608
"598",617
"599",524
"600",679
"601",257
"602",282
"603",611
"604",691
"605",607
"606",532
"607",579
"608",742
"609",651
"610",573
"611",637
"612",660
"613",691
"614",756
"615",447
"616",822
"617",911
"618",712
"619",750
"620",818
"621",346
"622",326
"623",492
"624",703
"625",754
"626",910
"627",748
"628",717
"629",715
"630",420
"631",659
"632",813
"633",797
"634",815
"635",651
"636",723
"637",626
"638",645
"639",772
"640",920
"641",699
"642",825
"643",667
"644",708
"645",637
"646",695
"647",780
"648",728
"649",604
"650",682
"651",649
"652",638
"653",748
"654",679
"655",680
"656",675
"657",594
"658",603
"659",712
"660",673
"661",651
"662",632
"663",300
"664",288
"665",454
"666",792
"667",573
"668",429
"669",434
"670",2911
"671",503
"672",245
"673",264
"674",331
"675",721
"676",572
"677",596
"678",517
"679",717
"680",737
"681",617
"682",665
"683",634
"684",653
"685",688
"686",670
"687",594
"688",679
"689",720
"690",794
"691",553
"692",675
"693",592
"694",794
"695",324
"696",363
"697",358
"698",284
"699",503
"700",277
"701",540
"702",720
"703",844
"704",470
"705",254
"706",379
"707",297
"708",672
"709",575
"710",600
"711",267
"712",514
"713",445
"714",885
"715",339
"716",251
"717",870
"718",386
"719",647
"720",752
"721",568
"722",740
"723",521
"724",808
"725",452
"726",679
"727",628
"728",654
"729",678
"730",645
"731",640
"732",636
"733",527
"734",696
"735",630
"736",569
"737",626
"738",519
"739",671
"740",496
"741",841
"742",617
"743",453
"744",553
"745",659
"746",741
"747",630
"748",628
"749",627
"750",616
"751",637
"752",631
"753",624
"754",541
"755",696
"756",550
"757",356
"758",347
"759",538
"760",585
"761",553
"762",755
"763",578
"764",637
"765",705
"766",538
"767",730
"768",640
"769",523
"770",317
"771",523
"772",492
"773",658
"774",658
"775",359
"776",865
"777",579
"778",721
"779",465
"780",755
"781",536
"782",665
"783",727
"784",522
"785",639
"786",644
"787",680
"788",563
"789",628
"790",411
"791",310
"792",638
"793",624
"794",630
"795",547
"796",605
"797",703
"798",624
"799",839
"800",370
"801",636
"802",616
"803",489
"804",398
"805",912
"806",605
"807",607
"808",512
"809",489
"810",740
"811",530
"812",675
"813",521
"814",602
"815",526
"816",669
"817",589
"818",602
"819",522
"820",663
"821",485
"822",696
"823",595
"824",592
"825",484
"826",652
"827",600
"828",604
"829",593
"830",543
"831",545
"832",679
"833",533
"834",572
"835",600
"836",696
"837",624
"838",620
"839",543
"840",533
"841",688
"842",495
"843",721
"844",627
"845",632
"846",617
"847",539
"848",572
"849",512
"850",323
"851",417
"852",654
"853",554
"854",612
"855",477
"856",768
"857",499
"858",716
"859",623
"860",537
"861",699
"862",609
"863",613
"864",536
"865",866
"866",409
"867",612
"868",596
"869",573
"870",543
"871",684
"872",590
"873",628
"874",652
"875",738
"876",648
"877",637
"878",574
"879",600
"880",656
"881",719
"882",503
"883",432
"884",361
"885",458
"886",770
"887",2919
"888",879
"889",895
"890",875
"891",868
"892",847
"893",770
"894",805
"895",692
"896",676
"897",513
"898",615
"899",697
"900",655
"901",659
"902",536
"903",697
"904",651
"905",734
"906",659
"907",637
"908",531
"909",560
"910",721
"911",649
"912",630
"913",629
"914",462
"915",645
"916",684
"917",633
"918",628
"919",558
"920",516
"921",292
"922",2949
"923",625
"924",556
"925",470
"926",761
"927",574
"928",703
"929",552
"930",260
"931",365
"932",653
"933",560
"934",687
"935",608
"936",449
"937",406
"938",267
"939",676
"940",608
"941",629
"942",555
"943",529
"944",671
"945",621
"946",615
"947",533
"948",676
"949",607
"950",613
"951",603
"952",601
"953",552
"954",639
"955",609
"956",524
"957",703
"958",587
"959",609
"960",526
"961",627
"962",567
"963",665
"964",619
"965",608
"966",535
"967",484
"968",276
"969",364
"970",649
"971",317
"972",295
"973",662
"974",527
"975",687
"976",604
"977",517
"978",679
"979",556
"980",528
"981",698
"982",598
"983",565
"984",453
"985",706
"986",632
"987",616
"988",592
"989",612
"990",628
"991",641
"992",548
"993",712
"994",601
"995",750
"996",568
"997",648
"998",704
"999",685
"1000",651
"1001",443
"1002",821
"1003",677
"1004",579
"1005",717
"1006",538
"1007",656
"1008",681
"1009",566
"1010",707
"1011",488
"1012",603
"1013",701
"1014",642
"1015",635
"1016",546
"1017",612
"1018",541
"1019",644
"1020",656
"1021",615
"1022",599
"1023",534
"1024",660
"1025",615
"1026",600
"1027",537
"1028",656
"1029",632
"1030",552
"1031",680
"1032",595
"1033",260
"1034",265
"1035",688
"1036",627
"1037",628
"1038",546
"1039",622
"1040",653
"1041",620
"1042",692
"1043",521
"1044",634
"1045",640
"1046",620
"1047",437
"1048",566
"1049",770
"1050",770
"1051",502
"1052",623
"1053",500
"1054",480
"1055",722
"1056",666
"1057",624
"1058",620
"1059",617
"1060",559
"1061",641
"1062",616
"1063",615
"1064",532
"1065",649
"1066",595
"1067",596
"1068",609
"1069",579
"1070",518
"1071",650
"1072",519
"1073",604
"1074",625
"1075",672
"1076",601
"1077",616
"1078",611
"1079",528
"1080",652
"1081",612
"1082",622
"1083",603
"1084",479
"1085",720
"1086",536
"1087",660
"1088",613
"1089",611
"1090",609
"1091",613
"1092",606
"1093",612
"1094",612
"1095",548
"1096",641
"1097",616
"1098",530
"1099",689
"1100",604
"1101",568
"1102",636
"1103",517
"1104",656
"1105",612
"1106",598
"1107",602
"1108",571
"1109",526
"1110",578
"1111",669
"1112",587
"1113",593
"1114",603
"1115",584
"1116",446
"1117",587
"1118",647
"1119",685
"1120",524
"1121",515
"1122",704
"1123",632
"1124",603
"1125",481
"1126",618
"1127",629
"1128",685
"1129",541
"1130",567
"1131",565
"1132",656
"1133",636
"1134",615
"1135",604
"1136",501
"1137",453
"1138",743
"1139",507
"1140",504
"1141",1128
"1142",317
"1143",533
"1144",681
"1145",537
"1146",345
"1147",263
"1148",676
"1149",615
"1150",605
"1151",599
"1152",569
"1153",526
"1154",663
"1155",598
"1156",601
"1157",608
"1158",496
"1159",692
"1160",585
"1161",604
"1162",539
"1163",652
"1164",592
"1165",532
"1166",685
"1167",571
"1168",615
"1169",613
"1170",617
"1171",516
"1172",669
"1173",613
"1174",613
"1175",613
"1176",487
"1177",562
"1178",667
"1179",553
"1180",611
"1181",671
"1182",520
"1183",649
"1184",619
"1185",600
"1186",600
"1187",540
"1188",560
"1189",680
"1190",597
"1191",595
"1192",565
"1193",524
"1194",579
"1195",673
"1196",587
"1197",513
"1198",608
"1199",627
"1200",588
"1201",476
"1202",652
"1203",604
"1204",517
"1205",669
"1206",516
"1207",455
"1208",716
"1209",623
"1210",517
"1211",672
"1212",555
"1213",588
"1214",693
"1215",609
"1216",495
"1217",695
"1218",644
"1219",616
"1220",625
"1221",487
"1222",540
"1223",685
"1224",664
"1225",632
"1226",624
"1227",499
"1228",532
"1229",708
